platform,cpu,compiler,algorithm,backend,operation,size_bytes,sample,elapsed_ns,bytes_processed,ns_per_byte,gbps,cycles_per_byte,status
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,5,1917000,262144,7.312774658,0.136747001,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,6,1913000,262144,7.297515869,0.137032933,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,7,1919000,262144,7.320404053,0.136604482,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,8,1920000,262144,7.324218750,0.136533333,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,9,1932000,262144,7.369995117,0.135685300,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,10,1913000,262144,7.297515869,0.137032933,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,11,1926000,262144,7.347106934,0.136107996,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,12,1919000,262144,7.320404053,0.136604482,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,13,1921000,262144,7.328033447,0.136462259,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,14,1940000,262144,7.400512695,0.135125773,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,4096,15,1960000,262144,7.476806641,0.133746939,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,1,1926000,262144,7.347106934,0.136107996,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,2,1912000,262144,7.293701172,0.137104603,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,3,1972000,262144,7.522583008,0.132933063,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,4,1924000,262144,7.339477539,0.136249480,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,5,1916000,262144,7.308959961,0.136818372,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,6,1921000,262144,7.328033447,0.136462259,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,7,2001000,262144,7.633209229,0.131006497,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,8,1968000,262144,7.507324219,0.133203252,,ok
